unit procedure,sampling point,parameter name,parameter detail,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,lal,ual,lcl,ucl,lrl,ucl,cl,nel1,nel2,nel3,nel4,ppk,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation,mfg_site_bldg,prd_stage,report_site
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10257239,10257239,7/29/2015 0:00,7/27/2015 0:00,7/29/2015 0:00,.,5.9,5.9,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10257240,10257240,8/3/2015 0:00,7/27/2015 0:00,8/3/2015 0:00,.,5.9,5.9,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10257607,10257607,8/1/2015 0:00,7/30/2015 0:00,8/1/2015 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10295654,10295654,7/27/2016 0:00,7/26/2016 0:00,7/27/2016 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10296433,10296433,7/29/2016 0:00,7/27/2016 0:00,7/29/2016 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10297492,10297492,7/28/2016 0:00,7/26/2016 0:00,7/28/2016 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10298949,10298949,1/19/2017 0:00,1/19/2017 0:00,1/19/2017 0:00,.,5.9,5.9,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10298950,10298950,1/18/2017 0:00,1/18/2017 0:00,1/18/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10309896,10309896,1/20/2017 0:00,1/20/2017 0:00,1/20/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10309897,10309897,1/21/2017 0:00,1/21/2017 0:00,1/21/2017 0:00,.,5.9,5.9,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10309898,10309898,1/24/2017 0:00,1/23/2017 0:00,1/24/2017 0:00,.,5.9,5.9,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10318966,10318966,1/25/2017 0:00,1/23/2017 0:00,1/25/2017 0:00,.,5.9,5.9,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10322574,10322574,1/26/2017 0:00,1/25/2017 0:00,1/26/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10324844,10324844,4/18/2017 0:00,4/17/2017 0:00,4/18/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10324845,10324845,4/19/2017 0:00,4/18/2017 0:00,4/19/2017 0:00,.,5.9,5.9,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10324850,10324850,4/20/2017 0:00,4/19/2017 0:00,4/20/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10342828,10342828,8/29/2017 0:00,8/29/2017 0:00,8/29/2017 0:00,.,5.81,5.81,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10347947,10347947,8/29/2017 0:00,8/29/2017 0:00,8/29/2017 0:00,.,5.74,5.74,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10360143,10360143,11/20/2017 0:00,11/16/2017 0:00,11/20/2017 0:00,.,5.85,5.85,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10360144,10360144,11/22/2017 0:00,11/20/2017 0:00,11/22/2017 0:00,.,5.84,5.84,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10360146,10360146,11/21/2017 0:00,11/20/2017 0:00,11/21/2017 0:00,.,5.83,5.83,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10361842,10361842,4/29/2018 0:00,4/18/2018 0:00,4/29/2018 0:00,.,5.76,5.76,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10395464,10395464,6/29/2018 0:00,6/20/2018 0:00,6/29/2018 0:00,.,5.78,5.78,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10404318,10404318,6/28/2018 0:00,6/28/2018 0:00,6/28/2018 0:00,.,5.83,5.83,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10413522,10413522,9/10/2018 0:00,9/7/2018 0:00,9/10/2018 0:00,.,5.8,5.8,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10413524,10413524,9/11/2018 0:00,9/10/2018 0:00,9/11/2018 0:00,.,5.8,5.8,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10425261,10425261,11/13/2018 0:00,11/13/2018 0:00,11/13/2018 0:00,.,5.83,5.83,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10430674,10430674,11/13/2018 0:00,11/13/2018 0:00,11/13/2018 0:00,.,5.84,5.84,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10335838,10335838,7/11/2017 0:00,7/11/2017 0:00,7/11/2017 0:00,.,5.85,5.85,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10335839,10335839,7/12/2017 0:00,7/12/2017 0:00,7/12/2017 0:00,.,5.84,5.84,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10342829,10342829,11/6/2017 0:00,11/2/2017 0:00,11/6/2017 0:00,.,5.82,5.82,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10342830,10342830,11/7/2017 0:00,11/2/2017 0:00,11/7/2017 0:00,.,5.81,5.81,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10351584,10351584,11/7/2017 0:00,11/2/2017 0:00,11/7/2017 0:00,.,5.71,5.71,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10361827,10361827,1/12/2018 0:00,1/9/2018 0:00,1/12/2018 0:00,.,5.81,5.81,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10361828,10361828,1/12/2018 0:00,1/10/2018 0:00,1/12/2018 0:00,.,5.82,5.82,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10361829,10361829,1/13/2018 0:00,1/10/2018 0:00,1/13/2018 0:00,.,5.81,5.81,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10361832,10361832,1/15/2018 0:00,1/11/2018 0:00,1/15/2018 0:00,.,5.74,5.74,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10361845,10361845,1/14/2018 0:00,1/11/2018 0:00,1/14/2018 0:00,.,5.74,5.74,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10388970,10388970,6/24/2018 0:00,6/5/2018 0:00,6/24/2018 0:00,.,5.83,5.83,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10395458,10395458,9/3/2018 0:00,8/30/2018 0:00,9/3/2018 0:00,.,5.84,5.84,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10395459,10395459,6/25/2018 0:00,6/21/2018 0:00,6/25/2018 0:00,.,5.82,5.82,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10395460,10395460,9/3/2018 0:00,9/3/2018 0:00,9/3/2018 0:00,.,5.82,5.82,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10402165,10402165,9/4/2018 0:00,9/4/2018 0:00,9/4/2018 0:00,.,5.82,5.82,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10411178,10411178,9/5/2018 0:00,9/5/2018 0:00,9/5/2018 0:00,.,5.82,5.82,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10411183,10411183,9/5/2018 0:00,9/5/2018 0:00,9/5/2018 0:00,.,5.8,5.8,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10425255,10425255,11/7/2018 0:00,11/7/2018 0:00,11/7/2018 0:00,.,5.82,5.82,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10425256,10425256,11/8/2018 0:00,11/8/2018 0:00,11/8/2018 0:00,.,5.81,5.81,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000583,10425257,10425257,11/9/2018 0:00,11/9/2018 0:00,11/9/2018 0:00,.,5.81,5.81,                                        ,5.6,6,5.65,5.94,.,.,5.83,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10260499,10260499,8/30/2015 0:00,8/24/2015 0:00,8/30/2015 0:00,.,5.9,5.9,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10260500,10260500,9/8/2015 0:00,8/25/2015 0:00,9/8/2015 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10260501,10260501,9/3/2015 0:00,8/29/2015 0:00,9/3/2015 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10317325,10317325,12/22/2016 0:00,12/22/2016 0:00,12/22/2016 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10319497,10319497,1/12/2017 0:00,1/9/2017 0:00,1/12/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10319498,10319498,1/13/2017 0:00,1/10/2017 0:00,1/13/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10319499,10319499,1/14/2017 0:00,1/11/2017 0:00,1/14/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10319500,10319500,1/15/2017 0:00,1/11/2017 0:00,1/15/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10319501,10319501,1/16/2017 0:00,1/12/2017 0:00,1/16/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10325194,10325194,4/7/2017 0:00,4/7/2017 0:00,4/7/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
PRJU:APR14-DP-AML,.,pH,PRDS-000582,10325197,10325197,4/10/2017 0:00,4/6/2017 0:00,4/10/2017 0:00,.,5.8,5.8,                                        ,5.6,6,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,PRJU:APR14,DP,AML
